0,1,2
442.0,51.0,1677.5
443.0,51.0,1677.5
443.0,52.0,1699.5
444.0,51.0,1677.5
445.0,51.0,1677.5
446.0,51.0,1677.5
446.0,52.0,1699.5
447.0,51.0,1677.5
448.0,51.0,1677.5
448.0,52.0,1699.5
449.0,51.0,1677.5
449.0,52.0,1699.5
450.0,51.0,1677.5
450.0,52.0,1699.5
451.0,52.0,1699.5
452.0,52.0,1699.5
453.0,52.0,1699.5
454.0,52.0,1699.5
455.0,52.0,1699.5
456.0,53.0,1845.0
456.0,54.0,1991.5
456.0,55.0,2006.5
456.0,56.0,2020.5
456.0,57.0,2031.5
456.0,58.0,2044.0
456.0,59.0,2057.5
456.0,60.0,2070.5
456.0,61.0,2084.5
456.0,62.0,2099.0
456.0,63.0,2121.0
456.0,64.0,2147.0
456.0,65.0,2170.5
456.0,66.0,2188.5
456.0,67.0,2203.0
456.0,68.0,2233.5
456.0,69.0,2260.5
456.0,70.0,2272.0
456.0,71.0,2480.0
